model,threshold,net_benefit,treat_all_net_benefit,treat_none_net_benefit
Ensemble,0.33,-0.061111639255949576,-0.39509459074056474,0.0
Ensemble,0.34,-0.0624235990478029,-0.4162323875699673,0.0
Ensemble,0.35000000000000003,-0.06716478850236814,-0.43802057814796674,0.0
Ensemble,0.36000000000000004,-0.07019639065817414,-0.4604896496815288,0.0
Ensemble,0.37,-0.07323155730799043,-0.48367202507329893,0.0
Ensemble,0.38,-0.07492637490582836,-0.507602219026094,0.0
Ensemble,0.39,-0.07748599074170757,-0.5323170095019317,0.0
Ensemble,0.4,-0.07961783439490448,-0.557855626326964,0.0
Ensemble,0.41000000000000003,-0.08090431465687863,-0.5842599589765735,0.0
Ensemble,0.42000000000000004,-0.08163115894282162,-0.61157478585548,0.0
Ensemble,0.43,-0.0844042164860133,-0.6398480277125934,0.0
Ensemble,0.44,-0.08515316954807399,-0.6691310282074613,0.0
Ensemble,0.45,-0.08979926655085889,-0.6994788650839605,0.0
Ensemble,0.46,-0.09160965636549499,-0.7309506959188488,0.0
Ensemble,0.47000000000000003,-0.09519088250610903,-0.7636101430116572,0.0
Ensemble,0.48000000000000004,-0.09537808263922913,-0.7975257226849584,0.0
Ensemble,0.49,-0.09942342117314014,-0.8327713250905456,0.0
Ensemble,0.5,-0.1024416135881104,-0.8694267515923566,0.0
Ensemble,0.51,-0.10600545950864422,-0.9075783179513843,0.0
Ensemble,0.52,-0.10894373673036094,-0.947319532908705,0.0
Ensemble,0.53,-0.1119167005465962,-0.9887518633961243,0.0
Ensemble,0.54,-0.1142573617649774,-1.0319855995569094,0.0
Ensemble,0.55,-0.11641896673743811,-1.0771408351026188,0.0
Ensemble,0.56,-0.11590426558579427,-1.124348581354951,0.0
Ensemble,0.5700000000000001,-0.11632844516861703,-1.1737520367352987,0.0
Ensemble,0.5800000000000001,-0.12036194520270958,-1.2255080376099488,0.0
Ensemble,0.59,-0.12272797887214539,-1.279788721454093,0.0
Ensemble,0.6,-0.1284501061571125,-1.3367834394904456,0.0
Ensemble,0.61,-0.13132179214981765,-1.3967009635799443,0.0
Ensemble,0.62,-0.13129958654598278,-1.4597720415688902,0.0
Ensemble,0.63,-0.13463304068399612,-1.526252367016698,0.0
Ensemble,0.64,-0.13570417551309272,-1.5964260438782731,0.0
Ensemble,0.65,-0.13701850166818325,-1.6706096451319383,0.0
Ensemble,0.66,-0.1428437617085051,-1.7491569876358188,0.0
Ensemble,0.67,-0.1445827703789488,-1.8324647751399346,0.0
Ensemble,0.68,-0.1467622080679406,-1.9209792993630577,0.0
Ensemble,0.6900000000000001,-0.14940757482364228,-2.015204438052189,0.0
Ensemble,0.7000000000000001,-0.1555201698513801,-2.1157112526539286,0.0
Ensemble,0.7100000000000001,-0.1529394538399591,-2.223149571710961,0.0
Ensemble,0.72,-0.15878070973612374,-2.3382620564149224,0.0
Ensemble,0.73,-0.1645631831406778,-2.461901391837697,0.0
Ensemble,0.74,-0.16601339212804178,-2.5950514453699163,0.0
Ensemble,0.75,-0.17250530785562634,-2.738853503184713,0.0
Ensemble,0.76,-0.17595541401273887,-2.89463906581741,0.0
Ensemble,0.77,-0.1675666943598265,-3.063971199113819,0.0
Ensemble,0.78,-0.17096120440069487,-3.248697162709902,0.0
Ensemble,0.79,-0.17038216560509561,-3.4510160752198975,0.0
Ensemble,0.8,-0.1735668789808918,-3.6735668789808926,0.0
Ensemble,0.81,-0.17448876969493807,-3.919544083137782,0.0
Ensemble,0.8200000000000001,-0.1785798537390895,-4.192852087756548,0.0
Ensemble,0.8300000000000001,-0.17953041089047092,-4.498313975271639,0.0
Ensemble,0.8400000000000001,-0.17449575371549908,-4.841958598726118,0.0
Ensemble,0.85,-0.1776362349610757,-5.231422505307855,0.0
Ensemble,0.86,-0.1653776160145587,-5.676524112829845,0.0
Ensemble,0.87,-0.16315531602155806,-6.1901028907398326,0.0
Ensemble,0.88,-0.1553432413305025,-6.78927813163482,0.0
Ensemble,0.89,-0.15865662999420962,-7.497394325419804,0.0
Ensemble,0.9,-0.16082802547770703,-8.347133757961785,0.0
Ensemble,0.91,-0.16501533380514277,-9.385704175513096,0.0
Ensemble,0.92,-0.16852441613588123,-10.683917197452235,0.0
Ensemble,0.93,-0.1490749165908403,-12.3530482256597,0.0
Ensemble,0.9400000000000001,-0.1503892427459308,-14.578556263269652,0.0
Ensemble,0.9500000000000001,-0.11889596602972419,-17.694267515923592,0.0
Ensemble,0.9600000000000001,-0.09288747346072207,-22.367834394904502,0.0
Ensemble,0.97,-0.06493276716206647,-30.15711252653925,0.0
Ensemble,0.98,0.0010615711252653928,-45.73566878980888,0.0
Ensemble,0.99,0.0,-92.47133757961775,0.0
