model,precision,recall,threshold,average_precision
Bi-LSTM,0.07218934911242604,0.991869918699187,0.06460981070995331,0.42869403401119865
Bi-LSTM,0.07223208999407933,0.991869918699187,0.06479495763778687,0.42869403401119865
Bi-LSTM,0.07227488151658767,0.991869918699187,0.06484392285346985,0.42869403401119865
Bi-LSTM,0.07231772377000593,0.991869918699187,0.06488524377346039,0.42869403401119865
Bi-LSTM,0.07236061684460261,0.991869918699187,0.06499888002872467,0.42869403401119865
Bi-LSTM,0.07240356083086054,0.991869918699187,0.06512463092803955,0.42869403401119865
Bi-LSTM,0.07244655581947744,0.991869918699187,0.06551234424114227,0.42869403401119865
Bi-LSTM,0.07248960190136661,0.991869918699187,0.06551490724086761,0.42869403401119865
Bi-LSTM,0.07253269916765755,0.991869918699187,0.06563404202461243,0.42869403401119865
Bi-LSTM,0.0725758477096966,0.991869918699187,0.06566204875707626,0.42869403401119865
Bi-LSTM,0.07261904761904762,0.991869918699187,0.06577118486166,0.42869403401119865
Bi-LSTM,0.07266229898749256,0.991869918699187,0.06580573320388794,0.42869403401119865
Bi-LSTM,0.07270560190703218,0.991869918699187,0.06581949442625046,0.42869403401119865
Bi-LSTM,0.0727489564698867,0.991869918699187,0.06590276956558228,0.42869403401119865
Bi-LSTM,0.07279236276849642,0.991869918699187,0.06596094369888306,0.42869403401119865
Bi-LSTM,0.07283582089552239,0.991869918699187,0.06606023758649826,0.42869403401119865
Bi-LSTM,0.07287933094384708,0.991869918699187,0.0662117749452591,0.42869403401119865
Bi-LSTM,0.07292289300657502,0.991869918699187,0.06626418232917786,0.42869403401119865
Bi-LSTM,0.0729665071770335,0.991869918699187,0.06657170504331589,0.42869403401119865
Bi-LSTM,0.07301017354877319,0.991869918699187,0.06667761504650116,0.42869403401119865
Bi-LSTM,0.07305389221556886,0.991869918699187,0.06670024245977402,0.42869403401119865
Bi-LSTM,0.07309766327142002,0.991869918699187,0.06701626628637314,0.42869403401119865
Bi-LSTM,0.07314148681055156,0.991869918699187,0.06705842167139053,0.42869403401119865
